nodes,matrix_size,duration(ms),cost
1,1,0,8081
2,4,0,9968
3,9,0,13630
4,16,0,26571
5,25,0,24992
6,36,0,55517
7,49,0,60712
8,64,0,63124
9,81,0,53692
10,100,513,88524
11,121,0,87172
12,144,0,98604
13,169,0,105660
14,196,0,109874
15,225,0,129364
16,256,522,138498
17,289,0,147384
18,324,0,152849
19,361,510,171729
20,400,0,178735
21,441,529,183726
22,484,526,200786
23,529,513,197283
24,576,505,211968
25,625,528,221712
26,676,521,224031
27,729,519,243970
28,784,1095,246606
29,841,1043,256226
30,900,1045,273123
31,961,1051,277886
32,1024,1057,292828
33,1089,1567,302848
34,1156,1562,314522
35,1225,2070,321142
36,1296,2123,326918
37,1369,2089,348766
38,1444,2662,343035
39,1521,2627,357734
40,1600,3071,368624
41,1681,3518,368507
42,1764,3010,399471
43,1849,3740,395814
44,1936,3693,408634
45,2025,4206,418245
46,2116,4511,427461
47,2209,5000,433631
48,2304,5512,436779
49,2401,6100,458065
50,2500,5092,459186
51,2601,6999,466013
52,2704,7012,487517
53,2809,7556,493481
54,2916,7517,505684
55,3025,7998,519946
56,3136,9008,522426
57,3249,8515,530893
58,3364,10000,538960
59,3481,10001,550424
60,3600,12336,565420
61,3721,12057,572131
62,3844,12946,580629
63,3969,14476,589837
64,4096,13902,604986
65,4225,15280,619536
66,4356,16129,615579
67,4489,17011,622087
68,4624,19954,640050
69,4761,36516,642939
70,4900,37044,655661
71,5041,29028,667960
72,5184,29033,686424
73,5329,31535,693157
74,5476,26001,694686
75,5625,26514,705777
76,5776,26997,718754
77,5929,29524,734811
78,6084,30932,745087
79,6241,31984,753852
80,6400,33977,768547
81,6561,34463,774129
82,6724,36084,785476
83,6889,37279,794789
84,7056,40949,801950
85,7225,42322,802337
86,7396,43050,820382
87,7569,42301,826269
88,7744,46080,843804
89,7921,45903,845984
90,8100,50099,857664
91,8281,51056,862534
92,8464,52057,875836
93,8649,55085,893256
94,8836,55054,898615
95,9025,56545,914861
96,9216,59576,923163
97,9409,62035,922311
98,9604,63076,942209
99,9801,65547,954487
100,10000,67062,955579
