nodes,jobs,duration(ms),cost
3,3,0,161939
3,4,0,161939
3,5,0,161939
3,6,0,161939
3,7,0,161939
3,8,0,161939
3,9,0,161939
3,10,0,161939
3,11,0,161939
3,12,0,161939
3,13,0,161939
3,14,0,161939
3,15,0,161939
3,16,0,161939
3,17,0,161939
3,18,0,161939
3,19,0,161939
3,20,0,161939
3,21,0,161939
3,22,0,161939
3,23,0,161939
3,24,0,161939
3,25,0,161939
3,26,0,161939
3,27,0,161939
3,28,0,161939
3,29,0,161939
3,30,0,161939
3,31,0,161939
3,32,0,161939
3,33,0,161939
3,34,0,161939
3,35,0,161939
3,36,0,161939
3,37,0,161939
3,38,0,161939
3,39,0,161939
3,40,0,161939
3,41,0,161939
3,42,0,161939
3,43,0,161939
3,44,0,161939
3,45,0,161939
3,46,0,161939
3,47,0,161939
3,48,0,161939
3,49,0,161939
3,50,0,161939
3,51,0,161939
3,52,0,161939
3,53,0,161939
3,54,0,161939
3,55,0,161939
3,56,0,161939
3,57,0,161939
3,58,0,161939
3,59,0,161939
3,60,0,161939
3,61,0,161939
3,62,0,161939
3,63,0,161939
3,64,0,161939
3,65,0,161939
3,66,0,161939
3,67,0,161939
3,68,0,161939
3,69,0,161939
3,70,0,161939
3,71,0,161939
3,72,0,161939
3,73,0,161939
3,74,0,161939
3,75,0,161939
3,76,0,161939
3,77,0,161939
3,78,0,161939
3,79,0,161939
3,80,0,161939
3,81,0,161939
3,82,0,161939
3,83,0,161939
3,84,0,161939
3,85,0,161939
3,86,0,161939
3,87,0,161939
3,88,0,161939
3,89,0,161939
3,90,0,161939
3,91,0,161939
3,92,0,161939
3,93,0,161939
3,94,0,161939
3,95,0,161939
3,96,0,161939
3,97,0,161939
3,98,0,161939
3,99,0,161939
3,100,0,161939
3,101,0,161939
3,102,0,161939
3,103,0,161939
3,104,0,161939
3,105,0,161939
3,106,515,161939
3,107,0,161939
3,108,0,161939
3,109,10,161939
3,110,0,161939
3,111,0,161939
3,112,0,161939
3,113,0,161939
3,114,0,161939
3,115,0,161939
3,116,0,161939
3,117,0,161939
3,118,0,161939
3,119,0,161939
3,120,0,161939
3,121,0,161939
3,122,0,161939
3,123,0,161939
3,124,0,161939
3,125,0,161939
3,126,0,161939
3,127,0,161939
3,128,0,161939
3,129,0,161939
3,130,0,161939
3,131,0,161939
3,132,0,161939
3,133,0,161939
3,134,0,161939
3,135,0,161939
3,136,0,161939
3,137,0,161939
3,138,0,161939
3,139,0,161939
3,140,0,161939
3,141,0,161939
3,142,0,161939
3,143,0,161939
3,144,0,161939
3,145,0,161939
3,146,0,161939
3,147,0,161939
3,148,0,161939
3,149,0,161939
3,150,0,161939
3,151,0,161939
3,152,0,161939
3,153,0,161939
3,154,0,161939
3,155,0,161939
3,156,0,161939
3,157,0,161939
3,158,0,161939
3,159,0,161939
3,160,0,161939
3,161,0,161939
3,162,0,161939
3,163,0,161939
3,164,0,161939
3,165,0,161939
3,166,0,161939
3,167,0,161939
3,168,0,161939
3,169,0,161939
3,170,0,161939
3,171,0,161939
3,172,0,161939
3,173,0,161939
3,174,0,161939
3,175,0,161939
3,176,0,161939
3,177,0,161939
3,178,0,161939
3,179,0,161939
3,180,0,161939
3,181,0,161939
3,182,0,161939
3,183,0,161939
3,184,0,161939
3,185,0,161939
3,186,0,161939
3,187,0,161939
3,188,0,161939
3,189,0,161939
3,190,0,161939
3,191,0,161939
3,192,0,161939
3,193,0,161939
3,194,0,161939
3,195,0,161939
3,196,0,161939
3,197,0,161939
3,198,0,161939
3,199,0,161939
3,200,0,161939
3,201,0,161939
3,202,0,161939
3,203,0,161939
3,204,0,161939
3,205,0,161939
3,206,0,161939
3,207,0,161939
3,208,0,161939
3,209,0,161939
3,210,0,161939
3,211,0,161939
3,212,0,161939
3,213,0,161939
3,214,0,161939
3,215,0,161939
3,216,0,161939
3,217,0,161939
3,218,0,161939
3,219,0,161939
3,220,0,161939
3,221,0,161939
3,222,0,161939
3,223,0,161939
3,224,0,161939
3,225,0,161939
3,226,0,161939
3,227,0,161939
3,228,0,161939
3,229,0,161939
3,230,0,161939
3,231,0,161939
3,232,0,161939
3,233,0,161939
3,234,0,161939
3,235,0,161939
3,236,0,161939
3,237,0,161939
3,238,0,161939
3,239,0,161939
3,240,0,161939
3,241,0,161939
3,242,0,161939
3,243,0,161939
3,244,0,161939
3,245,0,161939
3,246,0,161939
3,247,0,161939
3,248,0,161939
3,249,0,161939
3,250,0,161939
3,251,0,161939
3,252,0,161939
3,253,0,161939
3,254,0,161939
3,255,0,161939
3,256,0,161939
3,257,0,161939
3,258,0,161939
3,259,0,161939
3,260,0,161939
3,261,0,161939
3,262,0,161939
3,263,0,161939
3,264,0,161939
3,265,0,161939
3,266,0,161939
3,267,0,161939
3,268,0,161939
3,269,0,161939
3,270,0,161939
3,271,0,161939
3,272,0,161939
3,273,0,161939
3,274,0,161939
3,275,0,161939
3,276,0,161939
3,277,0,161939
3,278,0,161939
3,279,0,161939
3,280,0,161939
3,281,0,161939
3,282,0,161939
3,283,0,161939
3,284,0,161939
3,285,0,161939
3,286,0,161939
3,287,0,161939
3,288,0,161939
3,289,0,161939
3,290,0,161939
3,291,0,161939
3,292,0,161939
3,293,0,161939
3,294,0,161939
3,295,0,161939
3,296,0,161939
3,297,0,161939
3,298,0,161939
3,299,0,161939
3,300,0,161939
3,301,0,161939
3,302,0,161939
3,303,0,161939
3,304,0,161939
3,305,0,161939
3,306,0,161939
3,307,0,161939
3,308,0,161939
3,309,0,161939
3,310,0,161939
3,311,0,161939
3,312,0,161939
3,313,0,161939
3,314,0,161939
3,315,0,161939
3,316,0,161939
3,317,0,161939
3,318,0,161939
3,319,0,161939
3,320,0,161939
3,321,0,161939
3,322,0,161939
3,323,0,161939
3,324,0,161939
3,325,0,161939
3,326,0,161939
3,327,0,161939
3,328,0,161939
3,329,0,161939
3,330,0,161939
3,331,0,161939
3,332,0,161939
3,333,0,161939
3,334,0,161939
3,335,0,161939
3,336,0,161939
3,337,0,161939
3,338,0,161939
3,339,0,161939
3,340,0,161939
3,341,0,161939
3,342,0,161939
3,343,0,161939
3,344,0,161939
3,345,0,161939
3,346,0,161939
3,347,0,161939
3,348,0,161939
3,349,0,161939
3,350,0,161939
3,351,0,161939
3,352,0,161939
3,353,0,161939
3,354,0,161939
3,355,0,161939
3,356,0,161939
3,357,0,161939
3,358,0,161939
3,359,0,161939
3,360,0,161939
3,361,0,161939
3,362,0,161939
3,363,0,161939
3,364,0,161939
3,365,0,161939
3,366,0,161939
3,367,0,161939
3,368,0,161939
3,369,0,161939
3,370,0,161939
3,371,0,161939
3,372,0,161939
3,373,0,161939
3,374,0,161939
3,375,0,161939
3,376,0,161939
3,377,0,161939
3,378,0,161939
3,379,0,161939
3,380,0,161939
3,381,0,161939
3,382,0,161939
3,383,0,161939
3,384,0,161939
3,385,0,161939
3,386,0,161939
3,387,0,161939
3,388,0,161939
3,389,0,161939
3,390,0,161939
3,391,0,161939
3,392,0,161939
3,393,0,161939
3,394,0,161939
3,395,0,161939
3,396,0,161939
3,397,0,161939
3,398,0,161939
3,399,0,161939
3,400,0,161939
3,401,0,161939
3,402,0,161939
3,403,0,161939
3,404,0,161939
3,405,0,161939
3,406,0,161939
3,407,0,161939
3,408,0,161939
3,409,0,161939
3,410,0,161939
3,411,0,161939
3,412,0,161939
3,413,0,161939
3,414,0,161939
3,415,0,161939
3,416,0,161939
3,417,0,161939
3,418,0,161939
3,419,0,161939
3,420,0,161939
3,421,0,161939
3,422,0,161939
3,423,0,161939
3,424,0,161939
3,425,0,161939
3,426,0,161939
3,427,0,161939
3,428,0,161939
3,429,0,161939
3,430,0,161939
3,431,0,161939
3,432,0,161939
3,433,0,161939
3,434,0,161939
3,435,0,161939
