nodes,jobs,duration(ms),cost
20,20,0,185388
20,21,0,185388
20,22,0,185388
20,23,0,185388
20,24,0,185388
20,25,0,185388
20,26,0,185388
20,27,0,185388
20,28,999,185388
20,29,0,185388
20,30,0,185388
20,31,0,185388
20,32,0,185388
20,33,0,185388
20,34,0,185388
20,35,0,185388
20,36,0,185388
20,37,0,185388
20,38,0,185388
20,39,0,185388
20,40,0,185388
20,41,0,185388
20,42,0,185388
20,43,0,185388
20,44,0,185388
20,45,0,185388
20,46,0,185388
20,47,0,185388
20,48,0,185388
20,49,0,185388
20,50,0,185388
20,51,0,185388
20,52,0,185388
20,53,0,185388
20,54,0,185388
20,55,0,185388
20,56,0,185388
20,57,0,185388
20,58,0,185388
20,59,0,185388
20,60,1000,185388
20,61,0,185388
20,62,0,185388
20,63,0,185388
20,64,0,185388
20,65,0,185388
20,66,0,185388
20,67,0,185388
20,68,0,185388
20,69,0,185388
20,70,0,185388
20,71,0,185388
20,72,0,185388
20,73,0,185388
20,74,0,185388
20,75,0,185388
20,76,0,185388
20,77,0,185388
20,78,0,185388
20,79,0,185388
20,80,0,185388
20,81,0,185388
20,82,0,185388
20,83,0,185388
20,84,0,185388
20,85,0,185388
20,86,0,185388
20,87,0,185388
20,88,0,185388
20,89,0,185388
20,90,0,185388
20,91,0,185388
20,92,0,185388
20,93,998,185388
20,94,0,185388
20,95,0,185388
20,96,0,185388
20,97,0,185388
20,98,0,185388
20,99,0,185388
20,100,0,185388
20,101,0,185388
20,102,0,185388
20,103,0,185388
20,104,0,185388
20,105,0,185388
20,106,0,185388
20,107,0,185388
20,108,0,185388
20,109,0,185388
20,110,0,185388
20,111,0,185388
20,112,0,185388
20,113,0,185388
20,114,0,185388
20,115,0,185388
20,116,0,185388
20,117,0,185388
20,118,0,185388
20,119,0,185388
20,120,0,185388
20,121,0,185388
20,122,0,185388
20,123,0,185388
20,124,0,185388
20,125,0,185388
20,126,0,185388
20,127,1000,185388
20,128,0,185388
20,129,0,185388
20,130,0,185388
20,131,0,185388
20,132,0,185388
20,133,0,185388
20,134,0,185388
20,135,0,185388
20,136,0,185388
20,137,0,185388
20,138,0,185388
20,139,0,185388
20,140,0,185388
20,141,0,185388
20,142,0,185388
20,143,0,185388
20,144,0,185388
20,145,0,185388
20,146,0,185388
20,147,0,185388
20,148,0,185388
20,149,0,185388
20,150,0,185388
20,151,0,185388
20,152,0,185388
20,153,0,185388
20,154,0,185388
20,155,0,185388
20,156,0,185388
20,157,0,185388
20,158,0,185388
20,159,0,185388
20,160,1000,185388
20,161,0,185388
20,162,0,185388
20,163,0,185388
20,164,0,185388
20,165,0,185388
20,166,0,185388
20,167,0,185388
20,168,0,185388
20,169,0,185388
20,170,0,185388
20,171,0,185388
20,172,0,185388
20,173,0,185388
20,174,0,185388
20,175,0,185388
20,176,522,185388
20,177,0,185388
20,178,0,185388
20,179,0,185388
20,180,0,185388
20,181,0,185388
20,182,0,185388
20,183,0,185388
20,184,0,185388
20,185,0,185388
20,186,0,185388
20,187,0,185388
20,188,0,185388
20,189,0,185388
20,190,0,185388
20,191,0,185388
20,192,0,185388
20,193,0,185388
20,194,0,185388
20,195,0,185388
20,196,0,185388
20,197,0,185388
20,198,0,185388
20,199,0,185388
20,200,0,185388
20,201,0,185388
20,202,0,185388
20,203,0,185388
20,204,0,185388
20,205,0,185388
20,206,0,185388
20,207,0,185388
20,208,996,185388
20,209,0,185388
20,210,0,185388
20,211,0,185388
20,212,0,185388
20,213,0,185388
20,214,0,185388
20,215,0,185388
20,216,0,185388
20,217,0,185388
20,218,0,185388
20,219,0,185388
20,220,0,185388
20,221,0,185388
20,222,0,185388
20,223,0,185388
20,224,0,185388
20,225,0,185388
20,226,0,185388
20,227,0,185388
20,228,0,185388
20,229,0,185388
20,230,0,185388
20,231,0,185388
20,232,0,185388
20,233,0,185388
20,234,0,185388
20,235,0,185388
20,236,0,185388
20,237,0,185388
20,238,0,185388
20,239,0,185388
20,240,998,185388
20,241,0,185388
20,242,0,185388
20,243,0,185388
20,244,0,185388
20,245,0,185388
20,246,0,185388
20,247,0,185388
20,248,0,185388
20,249,0,185388
20,250,0,185388
20,251,0,185388
20,252,0,185388
20,253,0,185388
20,254,0,185388
20,255,0,185388
20,256,0,185388
20,257,0,185388
20,258,0,185388
20,259,0,185388
20,260,0,185388
20,261,0,185388
20,262,0,185388
20,263,0,185388
20,264,0,185388
20,265,0,185388
20,266,0,185388
20,267,0,185388
20,268,0,185388
20,269,0,185388
20,270,1001,185388
20,271,0,185388
20,272,0,185388
20,273,0,185388
20,274,0,185388
20,275,0,185388
20,276,0,185388
20,277,0,185388
20,278,0,185388
20,279,0,185388
20,280,0,185388
20,281,0,185388
20,282,0,185388
20,283,0,185388
20,284,0,185388
20,285,0,185388
20,286,0,185388
20,287,0,185388
20,288,0,185388
20,289,0,185388
20,290,0,185388
