nodes,matrix_size,duration(ms),cost
1,1,0,9410
2,4,0,7488
3,9,0,27129
4,16,0,28396
5,25,0,40711
6,36,0,52009
7,49,0,59022
8,64,0,64983
9,81,0,76093
10,100,14,85867
11,121,0,93788
12,144,0,105499
13,169,0,115446
14,196,0,120315
15,225,0,137199
16,256,0,148078
17,289,0,157090
18,324,0,166984
19,361,0,174992
20,400,0,181977
21,441,0,194408
22,484,511,204426
23,529,0,209224
24,576,0,225123
25,625,0,233877
26,676,0,248600
27,729,521,252118
28,784,0,263534
29,841,0,278143
30,900,525,281848
31,961,0,295850
32,1024,0,308191
33,1089,519,312455
34,1156,527,326049
35,1225,0,337059
36,1296,523,346257
37,1369,0,353284
38,1444,0,366549
39,1521,16,372921
40,1600,519,386482
41,1681,0,396072
42,1764,1042,401277
43,1849,0,415611
44,1936,519,425764
45,2025,517,436087
46,2116,525,443200
47,2209,523,453169
48,2304,519,466211
49,2401,1146,475864
50,2500,517,482696
51,2601,1041,493269
52,2704,1054,502496
53,2809,1031,514066
54,2916,543,524355
55,3025,1055,536873
56,3136,517,543903
57,3249,1062,551823
58,3364,1568,562914
59,3481,1050,573278
60,3600,1064,586123
61,3721,1560,593772
62,3844,1060,604811
63,3969,1577,614448
64,4096,2119,620466
65,4225,1626,636727
66,4356,1584,641690
67,4489,2078,651389
68,4624,1566,661003
69,4761,2513,673304
70,4900,2998,682947
71,5041,2000,690281
72,5184,3002,703892
73,5329,1997,712083
74,5476,2999,723924
75,5625,2000,734196
76,5776,2999,744487
77,5929,4000,755107
78,6084,4032,765309
79,6241,2000,772636
80,6400,2999,782457
81,6561,5024,794209
82,6724,3002,807108
83,6889,4509,816016
84,7056,2511,823904
85,7225,4000,834566
86,7396,2766,843665
87,7569,3999,851056
88,7744,2000,864954
89,7921,5032,872109
90,8100,3997,882897
91,8281,5005,893325
92,8464,5999,902118
93,8649,4096,915573
94,8836,4003,922785
95,9025,5006,933102
96,9216,6000,943917
97,9409,7009,952051
98,9604,6008,966370
99,9801,7000,973328
100,10000,7525,984124
